Outil,Dernier Modèle / Service (2026),Éditeur,URL,Date de sortie,Statut,Inscription,Gratuit (Limites),Payant (Prix & Limites),Entrée / Sortie,Spécificité / Usage recommandé
Midjourney,v7 / v6.5,Midjourney Inc.,https://midjourney.com,Juil. 2022,Actif,Oui,Non (Fin des essais gratuits),Basic : 10$/mois. Pro : jusqu'à 120$/mois.,"Texte, Image / Image","Qualité artistique inégalée, photoréalisme exceptionnel, très prisé par les créatifs."
DALL-E,DALL-E 3/4,OpenAI,https://chatgpt.com,Janv. 2021,Actif,Oui,Oui (Intégré à ChatGPT Gratuit/Copilot),Inclus dans ChatGPT Plus (20$/mois),Texte / Image,"Respect strict des prompts complexes, intégration parfaite avec l'écosystème OpenAI et Microsoft."
Leonardo.Ai,Leonardo Phoenix,Leonardo (Canva),https://leonardo.ai,Fin 2022,Actif,Oui,Oui (150 tokens/jour),Pro : à partir de ~10$/mois.,"Texte, Image / Image, Vidéo courte","Interface UI très riche, contrôle granulaire, création d'assets pour le design."
Ideogram,Ideogram 2.0 / 3.0,Ideogram,https://ideogram.ai,Août 2023,Actif,Oui,Oui (Quota quotidien limité),Basic : ~8$/mois.,Texte / Image,"Intégration parfaite et très cohérente de texte (typographie, logos, affiches) au sein des images."
Stable Diffusion,SD 3.5 / SD 4,Stability AI,https://stability.ai,Août 2022,Actif,Non,"Oui (Open-source, local)",API payante ou plateformes tierces,"Texte, Image / Image","Open-weights, contrôles absolus via ControlNet, idéal pour l'hébergement local."
Adobe Firefly,Firefly Image 3 / 4,Adobe,https://firefly.adobe.com,Mars 2023,Actif,Oui,Oui (25 crédits génératifs/mois),"Premium : ~5,50€/mois ou inclus dans Creative Cloud","Texte, Image / Image","Intégration Photoshop/Illustrator, sécurité juridique pour les entreprises (base Adobe Stock)."
Flux,Flux.1 (Pro/Dev),Black Forest Labs,https://blackforestlabs.ai,Août 2024,Actif,Non,Oui (Modèle Dev open-weights en local),API Pro (payant à la requête),Texte / Image,"Photoréalisme bluffant, rendu des visages/mains très naturel, alternative open-source majeure."
Sandcastles.ai,Sandcastles Gen 2,Sandcastles,https://sandcastles.ai,2024,Actif,Oui,Oui (Quota d'essai),Abonnements premium variables,"Texte / Image, Rendu",Génération rapide de visuels spécifiques et d'assets créatifs.
Canva (Dream Lab),Dream Lab,Canva,https://canva.com,2023,Actif,Oui,Oui (Crédits limités),Canva Pro : ~12€/mois,"Texte, Image / Image, Design",Outil de design grand public incluant des modèles d'IA pour simplifier la création visuelle.
Canva (Studio Magique),Dream Lab,Canva,https://canva.com,2023.0,Actif,Oui,Oui (Crédits limités),Canva Pro : ~12€/mois,"Texte, Image / Image, Design",Outil de design grand public incluant de puissants modèles d'IA (dont Leonardo) pour simplifier la création visuelle.
